#    ID      VHEL       FLX      FLXC        mI
   6098    1128.0     33.74     34.51     10.71
   6126     704.0     49.58     50.45     12.21
   6162    2209.0     17.15     17.28     12.26
   6167    1419.0      8.89     10.77     12.40
   6209    1584.0      8.85     11.11     12.05
   6215    2855.0     22.20     22.45     11.08
   6267    1303.0      3.44      4.17     12.70
   6318    2329.0     34.25     35.20     11.16
   6352    1506.0     20.92     27.93     11.95
   6355    2182.0      8.03      9.80     13.57
   6376    4246.0     38.43     39.14     10.37
   6378    1307.0     11.33     11.61     13.48
   6390    1009.0     12.49     12.75     13.87
   6405    1283.0     20.37     25.44     11.89
   6420    1060.0     49.17     50.19     11.00
   6430    3428.0      3.49      3.58     11.40
   6437    5332.0      4.83      5.44     13.76
   6449    3205.0      8.09      9.63     13.60
   6458    1708.0      8.09      8.26     11.09
   6484    2430.0     17.98     18.67     11.38
   6507    6307.0      6.14      7.26     13.72
   6534    1273.0     15.22     15.36     12.54
   6537     864.0     90.67     95.35      9.52
   6539    6267.0      4.03      4.60     13.41
   6542    3321.0      4.21      4.28     11.89
   6567    2696.0     28.23     28.75     10.69
   6575    1217.0     14.23     14.53     13.13
   6579    1289.0     26.45     27.24     10.40
   6583    6192.0      5.30      5.69     13.04
   6595     721.0     49.30     51.73     11.00
   6603    1627.0      7.88      9.92     13.24
   6607    3359.0      5.94      7.04     13.66
   6610    1853.0     10.10     12.67     13.32
   6616    1147.0     15.85     16.08     12.63
   6640    1383.0     20.14     20.32     12.29
   6644     993.0     49.27     50.46      9.72
   6650    3086.0     16.91     17.06     11.52
   6651    1468.0     18.86     24.22     10.80
   6692    6060.0     10.30     11.94     12.69
   6722    4491.0     12.22     16.46     11.72
   6736    5993.0      8.18      9.35     13.78
   6745     895.0     22.00     22.68      9.91
   6772    6287.0     10.52     14.71     11.66
   6790    3600.0      9.07     11.22     12.47
   6792     849.0     10.65     10.96     13.08
   6802    1250.0      7.44      7.61     13.94
   6858    3141.0      7.99      8.02     13.31
   6906    2498.0     35.58     55.48     10.69
   6911    6350.0      3.21      3.60     13.61
   6916    6187.0     12.43     12.68     13.00
   6934    5498.0      6.72      6.81     13.73
   7012    3080.0     10.18     12.97     13.28
   7021    1983.0     11.26     17.71     10.64
   7026    6274.0      2.48      3.09     12.57
   7054     940.0      1.22      2.22     10.34
   7075     743.0     22.04     22.77     11.16
